Study.ID	ID	Study.Species	Density.Data	Facilitation.Data	Notes	Richness	Diversity	N.sites	lat	lng
5										
6										
12										
21										
22										
26										
27										
45										
48										
62										
66										
78										
79										
80										
82										
83										
88										
94										
95										
96										
99										
106										
112										
115										
131										
149										
151										
153										
155										
169										
184										
185										
186										
189										
193										
211										
217										
233										
244										
246										
248										
261										
272										
273										
276										
